# idx date type tlmsid scs step time timeline_id vcdu params
-1 2020:356:18:16:38.239 ACISPKT AA00000000 131 338 724961867.423 0 3722149 ""
-1 2020:356:18:16:42.239 ACISPKT AA00000000 131 342 724961871.423 0 3722164 ""
-1 2020:356:18:16:46.239 ACISPKT WSPOW00000 131 346 724961875.423 0 3722180 ""
-1 2020:356:18:17:10.239 ACISPKT WSPOW0CF3F 131 352 724961899.423 0 3722274 ""
-1 2020:356:18:18:21.239 ACISPKT XTZ0000005 131 453 724961970.423 0 3722551 ""
-1 2020:356:19:44:33.239 ACISPKT AA00000000 131 474 724967142.423 0 3742734 ""
-1 2020:356:19:47:33.239 ACISPKT AA00000000 131 478 724967322.423 0 3743437 ""
-1 2020:356:19:47:42.239 ACISPKT WSPOW00000 131 482 724967331.423 0 3743472 ""
-1 2020:356:23:22:14.816 ACISPKT WSPOW0002A 131 500 724980204.0 0 3793706 ""
-1 2020:357:03:41:32.615 ACISPKT AA00000000 131 514 724995761.799 0 3854419 ""
-1 2020:357:03:41:36.615 ACISPKT AA00000000 131 518 724995765.799 0 3854435 ""
-1 2020:357:03:41:40.615 ACISPKT WSPOW00000 131 522 724995769.799 0 3854451 ""
-1 2020:357:03:42:04.615 ACISPKT WSPOW3F03F 131 528 724995793.799 0 3854544 ""
-1 2020:357:03:43:15.615 ACISPKT XTZ0000005 131 629 724995864.799 0 3854821 ""
-1 2020:357:05:25:38.615 ACISPKT AA00000000 131 648 725002007.799 0 3878794 ""
